ordinal,name,rarity,redo_existing,output_format,visual_concept,ai_prompt
887,Rammite,Rare,false,3 static PNGs,"A pendulum-being — bell-shaped body swings on a spectral chain, clapper-tongue extends as a tongue when 'speaking'.","Pokemon-style Rare monster: a pendulum-being — bell-shaped body swinging on a spectral chain, clapper-tongue extending as a tongue when 'speaking'. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
888,Steelalo,Rare,false,3 static PNGs,"A walking suit of empty platemail with no body inside — only an inner blue flame visible through the helmet's visor.","Pokemon-style Rare monster: a walking suit of empty platemail with no body inside — only an inner blue flame visible through the helmet's visor. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
889,Wallanyte,Rare,false,3 static PNGs,"A sentient stained-glass window — pane-segmented body in colored shards, light projects as rainbow eye-beams from chest.","Pokemon-style Rare monster: a sentient stained-glass window — pane-segmented body in colored shards, light projecting as rainbow eye-beams from chest. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
894,Scorpike,Rare,false,3 static PNGs,"A geometric fractal-snowflake creature — 6-armed symmetric body, each arm a smaller copy of the whole.","Pokemon-style Rare monster: a geometric fractal-snowflake creature — 6-armed symmetric body, each arm a smaller copy of the whole. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
896,Parriot,Rare,false,3 static PNGs,"A walking fountain — stone basin body with constant water-arcs splashing into self, no organic creature visible.","Pokemon-style Rare monster: a walking fountain — stone basin body with constant water-arcs splashing into self, no organic creature visible. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
900,Nyghy,Rare,false,3 static PNGs,"A nocturnal pillow-creature — soft fabric body, sleeping eyes, drifts on silent dream-winds.","Pokemon-style Rare monster: a nocturnal pillow-creature — soft fabric body, sleeping eyes, drifting on silent dream-winds. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
901,Xuvra,Rare,false,3 static PNGs,"A weather-vane spirit — arrow-shaped head, four-pointed body, rotates with wind direction, pointer-eyes.","Pokemon-style Rare monster: a weather-vane spirit — arrow-shaped head, four-pointed body, rotating with wind direction, pointer-eyes. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
903,Piannin,Rare,false,3 static PNGs,"A walking treble-clef — musical-symbol body, ribbon-tail of sheet-music trailing behind, ink-eyes.","Pokemon-style Rare monster: a walking treble-clef — musical-symbol body, ribbon-tail of sheet-music trailing behind, ink-eyes. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
905,Zoracrynth,Rare,false,3 static PNGs,"A bioluminescent deep-sea ribbon-eel — meter-long translucent body, internal organs glowing through skin like a moving x-ray.","Pokemon-style Rare monster: a bioluminescent deep-sea ribbon-eel — meter-long translucent body, internal organs glowing through skin like a moving x-ray. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
909,Ymmiss,Rare,false,3 static PNGs,"A sentient mirror — oval body shows reflection of the viewer, only the ornate frame is solid; inside reflects whatever stands before.","Pokemon-style Rare monster: a sentient mirror — oval body shows reflection of the viewer, only the ornate frame is solid; inside reflects whatever stands before. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
913,Yrvador,Rare,false,3 static PNGs,"A walking lighthouse-spirit — column body with rotating beacon-eye on top sweeping a beam across the scene.","Pokemon-style Rare monster: a walking lighthouse-spirit — column body with rotating beacon-eye on top sweeping a beam across the scene. ANIMATION HINT: beam rotates. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
914,Perrinth,Rare,false,3 static PNGs,"A petrified-tree mannequin — bark-skinned humanoid with branch-arms, hollow chest revealing inner glow of resin.","Pokemon-style Rare monster: a petrified-tree mannequin — bark-skinned humanoid with branch-arms, hollow chest revealing inner glow of resin. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
915,Qimeg,Rare,false,3 static PNGs,"An elastic gel-being — stretches and contracts, shape changes constantly, internal eye floats freely inside the gel.","Pokemon-style Rare monster: an elastic gel-being — stretching and contracting, shape changing constantly, internal eye floating freely inside the gel. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
916,Ysyrth,Rare,false,3 static PNGs,"A sentient suit of court-jester motley — floating empty costume, bells jingle on the collar, no head visible above the ruffled neckline.","Pokemon-style Rare monster: a sentient suit of court-jester motley — floating empty costume, bells jingling on the collar, no head visible above the ruffled neckline. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
917,Kuzayn,Rare,false,3 static PNGs,"A walking weathervane-rooster of polished copper, wind ruffles the metallic feather-decorations, body taut and animate.","Pokemon-style Rare monster: a walking weathervane-rooster of polished copper, wind ruffling metallic feather-decorations, body taut and animate. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
918,Ziervier,Rare,false,3 static PNGs,"A swarm-creature — thousands of tiny wings flock together to form a vague humanoid silhouette, individual wings visible at silhouette edge.","Pokemon-style Rare monster: a swarm-creature — thousands of tiny wings flocking together into a vague humanoid silhouette, individual wings visible at the edge. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
921,Yrvon,Rare,false,3 static PNGs,"A walking pillar of granite-blocks stacked precariously, eyes peer out from gaps between stones, blocks shift while moving.","Pokemon-style Rare monster: a walking pillar of granite-blocks stacked precariously, eyes peering from gaps between stones, blocks shifting as it moves. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
925,Qudrayrreit,Rare,false,3 static PNGs,"A sentient hourglass — two glass bulbs joined at narrow neck, sand pours visibly through, an internal eye drifts with the sand-flow.","Pokemon-style Rare monster: a sentient hourglass — two glass bulbs joined at narrow neck, sand pouring visibly through, internal eye drifting with the flow. ANIMATION HINT: sand grains stream. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
926,Qeombenth,Rare,false,3 static PNGs,"A coral-grown skeleton-fish — bone structure visible, coral colonies sprouting from rib-cage, pulsing internal organs visible through gaps.","Pokemon-style Rare monster: a coral-grown skeleton-fish — bone structure visible, coral colonies sprouting from rib-cage, pulsing internal organs visible through gaps. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
929,Zunnum,Rare,false,3 static PNGs,"A walking pyramid — golden geometric body, eye floats at the apex, base levitates above ground without legs.","Pokemon-style Rare monster: a walking pyramid — golden geometric body, eye floats at the apex, base levitating above ground without legs. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
931,Romby,Rare,false,3 static PNGs,"A floating pufferfish-zeppelin — rotund inflated body with internal lights, fins like rudders, no fish-mouth (only an air-vent).","Pokemon-style Rare monster: a floating pufferfish-zeppelin — rotund inflated body with internal lights, fins like rudders, no fish-mouth (only an air-vent). RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
935,Zurgan,Rare,false,3 static PNGs,"A two-headed cobra-clock — snake body wrapped around a clock-face, second-hand serves as a flickering tongue.","Pokemon-style Rare monster: a two-headed cobra-clock — snake body wrapped around a clock-face, second-hand serving as a flickering tongue. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
938,Pursen,Rare,false,3 static PNGs,"A walking purse-creature — leather pouch-body with tiny legs, mouth-zipper opens to reveal glittering interior treasure-eyes.","Pokemon-style Rare monster: a walking purse-creature — leather pouch-body with tiny legs, mouth-zipper opens to reveal glittering interior treasure-eyes. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
939,Ymbaintys,Rare,false,3 static PNGs,"A sentient typhoon-eye — spiraling cloud-walls surround a single central calm-eye, no body inside the storm.","Pokemon-style Rare monster: a sentient typhoon-eye — spiraling cloud-walls surround a single central calm-eye, no body inside the storm. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
941,Kylbodar,Rare,false,3 static PNGs,"A clockwork beetle-tank — brass-armored carapace with rotating gears, smokestacks for antennae, pistons for legs.","Pokemon-style Rare monster: a clockwork beetle-tank — brass-armored carapace with rotating gears, smokestacks for antennae, pistons for legs. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
942,Katairag,Rare,false,3 static PNGs,"A walking compass-rose — cardinal-direction-arms point outward, central pivot eye, brass star-pattern body.","Pokemon-style Rare monster: a walking compass-rose — cardinal-direction-arms pointing outward, central pivot eye, brass star-pattern body. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
943,Norsentiag,Rare,false,3 static PNGs,"A sentient pearl — large iridescent sphere-body with gentle ripples on surface, internal void with a single eye floating in the middle.","Pokemon-style Rare monster: a sentient pearl — large iridescent sphere-body with gentle ripples on surface, internal void with a single eye floating in the middle. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
944,Qenurriam,Rare,false,3 static PNGs,"A walking abacus — bead-rows form the body, beads slide visibly as it counts the world, no organic features.","Pokemon-style Rare monster: a walking abacus — bead-rows forming the body, beads sliding visibly as it counts the world, no organic features. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
945,Usim,Rare,false,3 static PNGs,"A glass-blown spider — transparent body filled with swirling mist, web-strands of cooled glass extending from spinnerets.","Pokemon-style Rare monster: a glass-blown spider — transparent body filled with swirling mist, web-strands of cooled glass extending from spinnerets. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
946,Tumru,Rare,false,3 static PNGs,"A walking sundial — stone disc body, gnomon-spike for spine, the cast-shadow on the disc is the creature's familiar.","Pokemon-style Rare monster: a walking sundial — stone disc body, gnomon-spike for spine, cast-shadow on the disc serves as the creature's familiar. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
949,Qyvros,Rare,false,3 static PNGs,"A walking quill-feather — oversized feathered shaft, ink-drop tail, writes itself across the air leaving glowing letter-trails.","Pokemon-style Rare monster: a walking quill-feather — oversized feathered shaft, ink-drop tail, writes itself across the air leaving glowing letter-trails. RARITY: Rare. Ignore name. 3 views, 96x96 PNG, transparent BG, ≤5 KB."
