ordinal,name,primary,secondary,rarity,archetype,biomes,time_lock,weekday_lock,weather_boost,final_size,max_kb,ai_prompt
114,Crocath,Fire,,Common,cat,Desert|Cave,any,Saturday,Heat,96x96,5,"Pokemon-style monster creature named ""Crocath"". PRIMARY ELEMENT: Fire — deep red, orange, yellow, smoldering ember tones. CREATURE ARCHETYPE: cat. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: lava-cracked skin, ash-streaked fur, made of charred bone. AURA / MOOD: heat-shimmer aura, sparks rising. STYLE REFERENCE: like Arcanine — burning mane on a powerful quadruped. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
115,Wolvesire,Water,Storm,Common,wolf,Beach|Harbor|Marsh,any,Friday,Rain,96x96,5,"Pokemon-style monster creature named ""Wolvesire"". PRIMARY ELEMENT: Water — deep ocean blue, teal, foam-white, kelp-green. SECONDARY ELEMENT: Storm — violet-electric, indigo, sulphur-yellow accents. CREATURE ARCHETYPE: wolf. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: coral horns, water-droplet halo, plus rain-soaked aura accents from Storm-element, made of barnacle plating. AURA / MOOD: swirling water-stream around body. STYLE REFERENCE: like Vaporeon — sleek aquatic with fluid ridges. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
116,Wombattle,Ice,,Common,spirit-form,Mountain|WaterSurface,any,Wednesday,Snow,96x96,5,"Pokemon-style monster creature named ""Wombattle"". PRIMARY ELEMENT: Ice — pale blue, cyan, frost-white, glacial silver. CREATURE ARCHETYPE: spirit-form. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: icicle crown, frost-breath, made of permafrost hide. AURA / MOOD: crisp frost mist. STYLE REFERENCE: like Glaceon — crystalline ice plates over fur. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
117,Sheluin,Earth,Fire,Common,crab,Forest|Mountain|Desert,any,Sunday,any,96x96,5,"Pokemon-style monster creature named ""Sheluin"". PRIMARY ELEMENT: Earth — rich brown, ochre, terracotta, mossy green. SECONDARY ELEMENT: Fire — deep red, orange, yellow, smoldering ember tones. CREATURE ARCHETYPE: crab. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: geode-encrusted limbs, stone-plate armor, plus burning mane accents from Fire-element, made of granite hide. AURA / MOOD: small dust kicked up around feet. STYLE REFERENCE: like Rhydon — heavy earth-armored beast. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
118,Girabite,Wood,Sound,Common,reptile,Forest|Plains,day-preferred,Sunday,any,96x96,5,"Pokemon-style monster creature named ""Girabite"". PRIMARY ELEMENT: Wood — deep forest green, bark-brown, autumn ochre. SECONDARY ELEMENT: Sound — vibrant electric blue, neon-pink, black accents. CREATURE ARCHETYPE: reptile. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: vine tendrils, leaf-mane, plus vibrating fur accents from Sound-element, made of ivy weave. AURA / MOOD: petals drifting in air. STYLE REFERENCE: like Sceptile — slender tree-leaf creature. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
119,Draceo,Metal,,Common,bipedal-humanoid,Cave|Castle|Harbor,any,Monday,any,96x96,5,"Pokemon-style monster creature named ""Draceo"". PRIMARY ELEMENT: Metal — iron grey, steel blue, brass-gold accents. CREATURE ARCHETYPE: bipedal-humanoid. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: blade limbs, magnetized horns, made of chrome carapace. AURA / MOOD: metallic clinking, static-spark. STYLE REFERENCE: like Scizor — armored insectoid steel-plated. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
120,Hyparoo,Storm,Water,Common,mythic-form,Beach|Mountain,any,Thursday,Rain,96x96,5,"Pokemon-style monster creature named ""Hyparoo"". PRIMARY ELEMENT: Storm — violet-electric, indigo, sulphur-yellow accents. SECONDARY ELEMENT: Water — deep ocean blue, teal, foam-white, kelp-green. CREATURE ARCHETYPE: mythic-form. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: lightning-bolt fur tufts, static-crackle eyes, plus fin-blade ridges accents from Water-element, made of charged feather. AURA / MOOD: arcing electric tendrils. STYLE REFERENCE: like Zapdos — feathered electric storm-bird. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
121,Buffeaf,Wind,,Common,spirit-form,Plains|Mountain,any,Friday,Foehn,96x96,5,"Pokemon-style monster creature named ""Buffeaf"". PRIMARY ELEMENT: Wind — sky-blue, white, silver, dawn-pink accents. CREATURE ARCHETYPE: spirit-form. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: wind-streak ribbons, feather-wings, made of thin chitin. AURA / MOOD: ribbon-trails of air. STYLE REFERENCE: like Pidgeot — majestic raptor with wind-sweep mane. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
122,Blastpecker,Shadow,Light,Common,spirit-form,Cave|Marsh|Sanctum,night-only,Wednesday,Fog,96x96,5,"Pokemon-style monster creature named ""Blastpecker"". PRIMARY ELEMENT: Shadow — midnight-black, deep purple, blood-red eye glow. SECONDARY ELEMENT: Light — radiant gold, ivory, soft platinum highlights. CREATURE ARCHETYPE: spirit-form. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: spectral cloak, fanged maw, plus luminous eyes accents from Light-element, made of obsidian claws. AURA / MOOD: darkness pooling at feet. STYLE REFERENCE: like Gengar — phantasmal grin with floating limbs. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
123,Lobstyle,Light,Shadow,Common,crab,Castle|Sanctum|Town,day-only,Tuesday,any,96x96,5,"Pokemon-style monster creature named ""Lobstyle"". PRIMARY ELEMENT: Light — radiant gold, ivory, soft platinum highlights. SECONDARY ELEMENT: Shadow — midnight-black, deep purple, blood-red eye glow. CREATURE ARCHETYPE: crab. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: feathered cloak, luminous eyes, plus fanged maw accents from Shadow-element, made of sunlit feather. AURA / MOOD: soft glow radiating outward. STYLE REFERENCE: like Lugia — pale heroic guardian-form. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
124,Octopita,Venom,,Common,octopus,Marsh|Cave|Sanctum,dawn-dusk-only,Saturday,any,96x96,5,"Pokemon-style monster creature named ""Octopita"". PRIMARY ELEMENT: Venom — sickly green, bile-yellow, deep purple veins. CREATURE ARCHETYPE: octopus. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: dripping fangs, stinger tail, made of chitin shell. AURA / MOOD: pungent green vapor. STYLE REFERENCE: like Seviper — snake-like with venom drip. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
125,Crazeboon,Cosmic,Light,Common,quadruped,Sanctum|Mountain,night-only,Wednesday,any,96x96,5,"Pokemon-style monster creature named ""Crazeboon"". PRIMARY ELEMENT: Cosmic — deep space black, nebula-purple, starlight-white pinpricks. SECONDARY ELEMENT: Light — radiant gold, ivory, soft platinum highlights. CREATURE ARCHETYPE: quadruped. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: orbiting orbs, constellation markings, plus sun-ray fur accents from Light-element, made of supernova mane. AURA / MOOD: tiny planet-models orbiting. STYLE REFERENCE: like Lunala — celestial wraith form. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
126,Spinamander,Aether,,Common,amorphous-elemental,Sanctum|Town,any,any,any,96x96,5,"Pokemon-style monster creature named ""Spinamander"". PRIMARY ELEMENT: Aether — iridescent gold, prismatic white, soft pearl. CREATURE ARCHETYPE: amorphous-elemental. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: crown of hovering motes, third-eye on forehead, made of translucent flesh. AURA / MOOD: glowing aether particles drifting up. STYLE REFERENCE: Aetherbound's signature element — pure life-essence creature. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
127,Slowopotamus,Dream,Blood,Common,amorphous-elemental,Forest|Sanctum,night-only,Wednesday,any,96x96,5,"Pokemon-style monster creature named ""Slowopotamus"". PRIMARY ELEMENT: Dream — soft pastels, dusk-pink, twilight purple, milky white. SECONDARY ELEMENT: Blood — crimson, scarlet, dark wine-red, bone-white. CREATURE ARCHETYPE: amorphous-elemental. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: trailing ribbons, drifting bubbles, plus dripping fangs accents from Blood-element, made of moth-fluff. AURA / MOOD: lazy drifting motes, soft glow. STYLE REFERENCE: like Cresselia — ethereal moth-spirit. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
128,Venomalo,Mind,Venom,Common,mythic-form,Castle|Sanctum,any,Wednesday,any,96x96,5,"Pokemon-style monster creature named ""Venomalo"". PRIMARY ELEMENT: Mind — violet, lavender, electric blue accents, silver psychic glow. SECONDARY ELEMENT: Venom — sickly green, bile-yellow, deep purple veins. CREATURE ARCHETYPE: mythic-form. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: open skull crown, fractal iris, plus dripping fangs accents from Venom-element, made of smooth porcelain skin. AURA / MOOD: wavy psychic distortion. STYLE REFERENCE: like Alakazam — bipedal psychic with spoons. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
129,Crocotine,Sound,,Common,quadruped,Forest|Town,any,Thursday,any,96x96,5,"Pokemon-style monster creature named ""Crocotine"". PRIMARY ELEMENT: Sound — vibrant electric blue, neon-pink, black accents. CREATURE ARCHETYPE: quadruped. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: tympanum membranes on ears, resonance horns, made of echo-bone. AURA / MOOD: visible sonic ripples. STYLE REFERENCE: like Exploud — large-mouthed roaring quadruped. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
130,Cowl,Time,Blood,Common,bird,Sanctum|Cave,any,any,any,96x96,5,"Pokemon-style monster creature named ""Cowl"". PRIMARY ELEMENT: Time — sepia, bronze, sand-gold, hourglass-silver. SECONDARY ELEMENT: Blood — crimson, scarlet, dark wine-red, bone-white. CREATURE ARCHETYPE: bird. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: clockwork joints, old-bone aging cracks, plus bone-spike spine accents from Blood-element, made of sand body. AURA / MOOD: drifting sand particles, faint clock-tick echo. STYLE REFERENCE: like Dialga — temporal-dragon. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
131,Elemadillo,Crystal,,Common,amorphous-elemental,Cave|Mountain|WaterSurface,any,Monday,any,96x96,5,"Pokemon-style monster creature named ""Elemadillo"". PRIMARY ELEMENT: Crystal — rainbow refractions on white, prismatic edges, hard light. CREATURE ARCHETYPE: amorphous-elemental. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: shard horns, rainbow refraction shimmer, made of diamond-dust fur. AURA / MOOD: refracted light beams in air. STYLE REFERENCE: like Diancie — gem-encrusted royal. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
132,Cobrire,Blood,Time,Common,quadruped,Castle|Sanctum|Cave,any,Saturday,any,96x96,5,"Pokemon-style monster creature named ""Cobrire"". PRIMARY ELEMENT: Blood — crimson, scarlet, dark wine-red, bone-white. SECONDARY ELEMENT: Time — sepia, bronze, sand-gold, hourglass-silver. CREATURE ARCHETYPE: quadruped. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: pulsing vein-patterns, open-heart chest, plus hourglass markings on chest accents from Time-element, made of sinew tendons. AURA / MOOD: crimson mist haze. STYLE REFERENCE: like Yveltal — dark-vitality apex predator. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
133,Cobruna,Fire,Metal,Common,quadruped,Desert|Cave,any,Saturday,Heat,96x96,5,"Pokemon-style monster creature named ""Cobruna"". PRIMARY ELEMENT: Fire — deep red, orange, yellow, smoldering ember tones. SECONDARY ELEMENT: Metal — iron grey, steel blue, brass-gold accents. CREATURE ARCHETYPE: quadruped. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: ash-streaked fur, burning mane, plus gear joints accents from Metal-element, made of obsidian scales. AURA / MOOD: heat-shimmer aura, sparks rising. STYLE REFERENCE: like Arcanine — burning mane on a powerful quadruped. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
134,Koalaza,Water,,Common,bipedal-humanoid,Beach|Harbor|Marsh,any,Friday,Rain,96x96,5,"Pokemon-style monster creature named ""Koalaza"". PRIMARY ELEMENT: Water — deep ocean blue, teal, foam-white, kelp-green. CREATURE ARCHETYPE: bipedal-humanoid. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: water-droplet halo, coral horns, made of kelp tendrils. AURA / MOOD: swirling water-stream around body. STYLE REFERENCE: like Vaporeon — sleek aquatic with fluid ridges. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
135,Catetle,Ice,Wood,Common,cat,Mountain|WaterSurface,any,Wednesday,Snow,96x96,5,"Pokemon-style monster creature named ""Catetle"". PRIMARY ELEMENT: Ice — pale blue, cyan, frost-white, glacial silver. SECONDARY ELEMENT: Wood — deep forest green, bark-brown, autumn ochre. CREATURE ARCHETYPE: cat. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: shattered-glass exoskeleton, snowflake markings, plus leaf-mane accents from Wood-element, made of glacier shards. AURA / MOOD: crisp frost mist. STYLE REFERENCE: like Glaceon — crystalline ice plates over fur. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
136,Skelebat,Earth,,Common,amorphous-elemental,Forest|Mountain|Desert,any,Sunday,any,96x96,5,"Pokemon-style monster creature named ""Skelebat"". PRIMARY ELEMENT: Earth — rich brown, ochre, terracotta, mossy green. CREATURE ARCHETYPE: amorphous-elemental. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: stone-plate armor, geode-encrusted limbs, made of clay scales. AURA / MOOD: small dust kicked up around feet. STYLE REFERENCE: like Rhydon — heavy earth-armored beast. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
137,Crazeray,Wood,Earth,Common,quadruped,Forest|Plains,day-preferred,Sunday,any,96x96,5,"Pokemon-style monster creature named ""Crazeray"". PRIMARY ELEMENT: Wood — deep forest green, bark-brown, autumn ochre. SECONDARY ELEMENT: Earth — rich brown, ochre, terracotta, mossy green. CREATURE ARCHETYPE: quadruped. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: moss back, moss back, plus geode-encrusted limbs accents from Earth-element, made of mushroom growths. AURA / MOOD: petals drifting in air. STYLE REFERENCE: like Sceptile — slender tree-leaf creature. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
138,Eleloon,Metal,Ice,Common,amorphous-elemental,Cave|Castle|Harbor,any,Monday,any,96x96,5,"Pokemon-style monster creature named ""Eleloon"". PRIMARY ELEMENT: Metal — iron grey, steel blue, brass-gold accents. SECONDARY ELEMENT: Ice — pale blue, cyan, frost-white, glacial silver. CREATURE ARCHETYPE: amorphous-elemental. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: magnetized horns, blade limbs, plus snowflake markings accents from Ice-element, made of iron skin. AURA / MOOD: metallic clinking, static-spark. STYLE REFERENCE: like Scizor — armored insectoid steel-plated. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
139,Hyenola,Storm,,Common,mythic-form,Beach|Mountain,any,Thursday,Rain,96x96,5,"Pokemon-style monster creature named ""Hyenola"". PRIMARY ELEMENT: Storm — violet-electric, indigo, sulphur-yellow accents. CREATURE ARCHETYPE: mythic-form. RARITY TIER: Common (simple silhouette, calm pose, 1-2 distinguishing details, harmonious palette). KEY DESIGN FEATURES: rain-soaked aura, thunder cloud collar, made of kelvin-blue skin. AURA / MOOD: arcing electric tendrils. STYLE REFERENCE: like Zapdos — feathered electric storm-bird. OUTPUT VIEWS: render three separate images per creature — (1) full-body front view, (2) three-quarter back view rotated ~135 degrees from front, (3) pure side-profile view. GENERATION RES: render at 512x512 for AI quality, then DOWNSCALE to FINAL 96x96 PNG. FINAL IMAGE SPECS: 96x96 PNG, transparent background, indexed palette (max 256 colors), TARGET FILE SIZE: under 5 KB per image. Use clean Pokemon-style line art, vibrant saturated colors, single creature centered in frame, tightly cropped to silhouette (no padding wider than 2px), no text or watermarks."
